[05/18/22 23:50:09.550] [info    ] [imgviewer] Starting Camera Server ...
[05/18/22 23:50:09.550] [warning ] [imgviewer] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/18/22 23:50:09.555] [info    ] [imgviewer] [OPC UA/channel] Connection 4 | SecureChannel 1 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/18/22 23:50:09.555] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:50:09.556] [info    ] [imgviewer] [OPC UA/client] Client Status: ChannelState: Closed, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:50:09.556] [info    ] [imgviewer-ua] Using endpoint with no security
[05/18/22 23:50:09.556] [warning ] [imgviewer-ua] [OPC UA/userland] AcceptAll Certificate Verification. Any remote certificate will be accepted.
[05/18/22 23:50:09.556] [info    ] [imgviewer] Attempting to connect with username: demo
[05/18/22 23:50:09.560] [info    ] [imgviewer-ua] [OPC UA/channel] Connection 4 | SecureChannel 2 | SecureChannel opened with SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.00s
[05/18/22 23:50:09.560] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Closed, ConnectStatus: Good
[05/18/22 23:50:09.561] [info    ] [imgviewer-ua] [OPC UA/client] Rejecting UserTokenPolicy 0 (anonymous) in endpoint 0: configuration doesn't match
[05/18/22 23:50:09.561] [info    ] [imgviewer-ua] [OPC UA/client] Selected endpoint 0 in URL opc.tcp://lucas-laptop:4842 with SecurityMode None and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/18/22 23:50:09.561] [info    ] [imgviewer-ua] [OPC UA/client] Selected UserTokenPolicy open62541-username-policy with UserTokenType UserName and SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None
[05/18/22 23:50:09.563] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Created, ConnectStatus: Good
[05/18/22 23:50:09.564] [info    ] [imgviewer-ua] [OPC UA/client] Client Status: ChannelState: Open, SessionState: Activated, ConnectStatus: Good
[05/18/22 23:50:09.564] [info    ] [imgviewer] Camera Client connected
[05/18/22 23:50:09.702] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:50:10.704] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:50:11.706] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

[05/18/22 23:50:12.708] [error   ] [imgviewer] Failed on reading image: OpenCV(4.2.0) ../modules/imgcodecs/src/loadsave.cpp:730: error: (-215:Assertion failed) !buf.empty() in function 'imdecode_'

